refactoringType,name,description,diffUrl
"Inline Operation",RxJava,"Inline Operation	private processQueue() : void inlined to private enqueue(notification Notification<T>) : void in class rx.operators.ScheduledObserver",https://github.com/ReactiveX/RxJava/commit/1fa6ae3be23200c787cc1c25c0bb8cac99ae0d17?diff=split
"Inline Operation",voldemort,"Inline Operation	public getDeletePartitionsList() : List<Integer> inlined to public toString() : String in class voldemort.client.rebalance.RebalancePartitionsInfo",https://github.com/voldemort/voldemort/commit/a7c9b91f1f02d3b4a82b53edb82dfa086743962a?diff=split
"Inline Operation",voldemort,"Inline Operation	private get(cursor Cursor, key ByteArray, lockMode LockMode, serializer Serializer<T>) : List<T> inlined to public get(key ByteArray, transforms byte[]) : List<Versioned<byte[] in class voldemort.store.bdb.BdbStorageEngine",https://github.com/voldemort/voldemort/commit/692b63fc5ada7dd00a949763d69e739e5ca4d33d?diff=split
"Inline Operation",netty,"Inline Operation	public run() : void inlined to public main(args String[]) : void in class io.netty.example.stomp.StompClient",https://github.com/netty/netty/commit/25e2f5d288409237418ed3502e4eb64b210a3651?diff=split
"Inline Operation",netty,"Inline Operation	private waitForNextTick(startTime long) : long inlined to public run() : void in class org.jboss.netty.handler.timeout.HashedWheelTimer.Worker",https://github.com/netty/netty/commit/11f7606b6d0114a2cd9a82709301486fbc4ce860?diff=split
"Inline Operation",netty,"Inline Operation	private toLowerCase(c char) : char inlined to private eq(name1 String, name2 String) : boolean in class io.netty.handler.codec.http.DefaultHttpHeaders",https://github.com/netty/netty/commit/f84a50d3cb3d6dc6240f0233e1703a0eca407982?diff=split
"Inline Operation",k-9,"Inline Operation	private pruneCachedAttachments(force boolean, attachmentsDir File) : void inlined to public pruneCachedAttachments(force boolean) : void in class com.fsck.k9.mail.store.LocalStore",https://github.com/k9mail/k-9/commit/f9d39e4814a9e1b1c87c0397e1155430566f0ba4?diff=split
"Inline Operation",RxJava,"Inline Operation	private unsubscribeFromSubSequence() : void inlined to public onCompleted() : void in class rx.operators.OperationSwitch.SwitchObserver",https://github.com/ReactiveX/RxJava/commit/41ebe38fe80989472430f19cc7bb713c115eeb7a?diff=split
"Inline Operation",netty,"Inline Operation	public stop() : void inlined to public main(args String[]) : void in class io.netty.example.spdy.client.SpdyClient",https://github.com/netty/netty/commit/3f8194557b5fe14e8f3313570ef28f29cbbef150?diff=split
"Inline Operation",netty,"Inline Operation	public get() : HttpRequest inlined to public main(args String[]) : void in class io.netty.example.spdy.client.SpdyClient",https://github.com/netty/netty/commit/3f8194557b5fe14e8f3313570ef28f29cbbef150?diff=split
"Move Attribute",voldemort,"Move Attribute	public DEFAULT_RANDOM_SWAP_SUCCESSES : int from class voldemort.tools.RepartitionCLI to class voldemort.utils.RepartitionUtils",https://github.com/voldemort/voldemort/commit/fdc0eb369db52cf6764535b5cf2714e724403f3c?diff=split
"Move Attribute",voldemort,"Move Attribute	public END : Pair<ByteArray,Versioned<byte[] from class voldemort.server.rebalance.async.DonorBasedRebalancePusherSlave to class voldemort.server.rebalance.async.DonorBasedRebalanceAsyncOperation",https://github.com/voldemort/voldemort/commit/90c2757f03bd059cc5e340dbd469d96c32354be9?diff=split
"Move Attribute",voldemort,"Move Attribute	protected time : Time from class voldemort.store.routed.action.AbstractAction to class voldemort.store.routed.action.PerformSerialPutRequests",https://github.com/voldemort/voldemort/commit/b9b2857ec36c4de9a8ae2ab388c0713eb006108b?diff=split
"Move Attribute",netty,"Move Attribute	private sslCtx : SslContext from class io.netty.example.securechat.SecureChatServer to class io.netty.example.worldclock.WorldClockClientInitializer",https://github.com/netty/netty/commit/3f8194557b5fe14e8f3313570ef28f29cbbef150?diff=split
"Move Attribute",k-9,"Move Attribute	public STORE_TYPE : String from class com.fsck.k9.mail.store.WebDavStore.WebDavStoreSettings to class com.fsck.k9.mail.store.ImapStore",https://github.com/k9mail/k-9/commit/ded489daab3ec66f662bcadc898b29401b1b7c99?diff=split
"Move Attribute",titan,"Move Attribute	package readPartitionIds : int[] from class com.thinkaurelius.titan.diskstorage.log.kcvs.KCVSLog to class com.thinkaurelius.titan.diskstorage.log.kcvs.KCVSLogManager",https://github.com/thinkaurelius/titan/commit/6ef5e7d8b390cfc63a8dedc0dbbccb67517b7242?diff=split
"Move Attribute",netty,"Move Attribute	private sslCtx : SslContext from class io.netty.example.portunification.PortUnificationServer to class io.netty.example.worldclock.WorldClockServerInitializer",https://github.com/netty/netty/commit/3f8194557b5fe14e8f3313570ef28f29cbbef150?diff=split
"Move Attribute",netty,"Move Attribute	private sslCtx : SslContext from class io.netty.example.portunification.PortUnificationServer to class io.netty.example.http.websocketx.server.WebSocketServerInitializer",https://github.com/netty/netty/commit/3f8194557b5fe14e8f3313570ef28f29cbbef150?diff=split
"Move Attribute",netty,"Move Attribute	private sslCtx : SslContext from class io.netty.example.portunification.PortUnificationServer to class io.netty.example.http.helloworld.HttpHelloWorldServerInitializer",https://github.com/netty/netty/commit/3f8194557b5fe14e8f3313570ef28f29cbbef150?diff=split
"Move Attribute",netty,"Move Attribute	private outboundBuffer : ChannelOutboundBuffer from class io.netty.channel.AbstractChannel to class io.netty.channel.AbstractChannel.AbstractUnsafe",https://github.com/netty/netty/commit/8828d5327a6a7ddb71dcd0a66ca5f262b1a26e60?diff=split
"Pull Up Operation",netty,"Pull Up Operation	public toString() : String from class io.netty.handler.codec.http.websocketx.PongWebSocketFrame to public toString() : String from class io.netty.handler.codec.http.websocketx.WebSocketFrame",https://github.com/netty/netty/commit/dfbecb796c0beda55c066c873771f507a93cc3bb?diff=split
"Pull Up Operation",netty,"Pull Up Operation	public toString() : String from class io.netty.handler.codec.http.websocketx.ContinuationWebSocketFrame to public toString() : String from class io.netty.handler.codec.http.websocketx.WebSocketFrame",https://github.com/netty/netty/commit/dfbecb796c0beda55c066c873771f507a93cc3bb?diff=split
"Pull Up Operation",netty,"Pull Up Operation	public order() : ByteOrder from class io.netty.buffer.ReadOnlyByteBuf to public order() : ByteOrder from class io.netty.buffer.AbstractByteBuf",https://github.com/netty/netty/commit/754392aaa92b5edd72d941873a1fadbd1029f279?diff=split
"Pull Up Operation",netty,"Pull Up Operation	public setMedium(index int, value int) : void from class io.netty.buffer.DefaultCompositeByteBuf to public setZero(index int, length int) : ByteBuf from class io.netty.buffer.AbstractByteBuf",https://github.com/netty/netty/commit/cbcabaf29b24fb4c04334c851c33ce9a278a3389?diff=split
"Pull Up Operation",titan,"Pull Up Operation	private startUpCassandra() : TitanGraph from class com.thinkaurelius.titan.hadoop.formats.titan.cassandra.TitanCassandraOutputFormatTest to public clear() : void from class com.thinkaurelius.titan.hadoop.formats.TitanOutputFormatTest",https://github.com/thinkaurelius/titan/commit/d83755cb52e5c2072125b7c04ccec74eff396712?diff=split
